The boys * clamorous that their mother should go with them_ and reminded her of the Eastern silks and rugs which she would undoubtedly see_ and might buy_ at the Fair.,were,enjoyed,horsemen,spot
They also made a great deal of the delightful long voyage_ knowing their mother’s * of the water; but Mrs. Porter remained firm_ and it was finally arranged as she had suggested.,enjoyment,together,signalbutton,slush
In a very short time_ really_ though it seemed * age to the impatient boys_ they were on the pier in New York ready to board the fine steamer Kursk for Libau_ Russia.,an,broad,extremely,wondered
Mrs. Porter gave the boys final instructions * their clothes_ and told them just where_ in their trunk_ she had placed the box of sewing materials.,about,formidable,imprisonment,brilliant
The boys_ besides being crack shots with the rifle and six-shooter_ an accomplishment which they had found so valuable in their Mexican adventure_ could replace missing buttons_ sew up ripped seams_ and even put on patches_ * necessary.,if,repulsivelooking,enabled,failed
\"Ray is talking wild_ as usual_\" * Mr. Porter.,said,ceased,torrent,fingers
\"I wish it were a mountain *_ though_\" said Raymond.,trip,welldefined,hardest,pet
\"Of course we shall not get into any trouble_ my dear_\" * her husband.,replied,clothed,burdensome,masts
Mr. Porter’s mother had been a * German_ and she had insisted that her boy_ during his childhood at home_ should speak her tongue.,native,know,glad,tethers
Learning * language in that way he had never known any difference between it and English.,the,bitter,sister,firmer
He had not_ however_ been as wise as his mother_ and had * taught it to his own boys.,not,believing,truthfully,degree
\"Which wouldn’t bother me *_\" declared Raymond.,any,strength,entreatingly,havent
The last good-byes were * said and the travelers stood on deck waving their handkerchiefs to Mrs. Porter on the fast-receding pier.,finally,tributary,weird,motion
While the boys had been great travelers by land_ they had never before made a long * voyage and the novel scenes and sensations were of constant interest to them.,ocean,barrel,army,going
The greatest interest began_ however_ after * ship had traversed the English Channel and had passed through the Strait of Dover into the North Sea.,the,publication,gait,futile
There the ships which they * were numerous and made a pleasant variety after the broad expanse of the Atlantic.,encountered,becoming,advance,behind
On the eighth day after leaving New York they made the port of Rotterdam and the boys could give a day * quaint Dutch scenes.,to,theyre,accent,fusillade
Then came the delightful * up the North Sea_ around the north end of Denmark_ through the narrow strait into the Baltic and to their destination_ Libau_ three days packed full of pleasure and charm.,voyage,performance,prisoner,road
With the Great Fair * prospect there was little in Libau to detain the travelers and at the earliest possible moment they were aboard a train for Nizhni-Novgorod with three days of what they feared would be tiresome travel ahead of them.,in,fife,prophet,prepare
But the boys found_ to their delight_ that in the first-class coach * were given a compartment for three.,they,blocking,forth,independent
They had followed Baedeker’s instructions and had provided themselves with traveling-rugs and pillows_ which is the wisest * to pursue on Russian railways.,course,shipwrecked,former,current
However_ even the charms of a private car may become tiresome_ and all the party were glad when_ on the afternoon of August 1_ their * pulled into Nizhni-Novgorod.,train,dreadful,shoe,sweeping
That city is situated along * right bank of the Volga River_ and of its great tributary_ the Oka.,the,leg,sick,preparing
The most important part of the city is on the * bluff that borders the two rivers along that side_ and the hotel which our travelers selected was on the bluff near the Kremlin.,high,olive,lead,capital
Climbing the bluff in a cab they had tantalizing glimpses of the magnificent *_ and the boys did not want to go into the hotel until they had seen more of it.,view,arrested,capital,underwent
Their father_ however_ suggested that they had better * him select rooms.,help,hailed,begun,quieted
\"I don’t want to * bothered with money_ father_\" expostulated Raymond.,be,changed,contradicted,quartered
\"I think you ought to have a reasonable amount_ *_\" said his father.,though,examine,thorough,ignorant
\"I would rather * some_\" said Sidney.,have,reasonable,warm,guided
\"Now that’s fixed up_ let’s * out_\" urged Raymond.,hurry,wild,wet,expected
Mr. Porter insisted on dividing the money and checks first_ but when that was done they went * to the Alexander Gardens_ near by.,out,crimson,surging,safeguard
While there are high bluffs along the right banks * the Volga and the Oka_ on the opposite side extend level plains.,of,cabin,formidable,distance
From the Gardens the travelers saw at their feet the two broad rivers_ and on the peninsula formed by the junction * the two streams was situated the great temporary city of the Fair_ connected with Nizhni-Novgorod by a bridge of pontoons_ transitory_ like the community it served.,of,enveloped,years,accent
Beyond * Volga stretched plains_ farther than the eye could reach toward the Urals_ hundreds of miles of cultivated fields and meadows.,the,alone,another,bedding
Near * stood a gentleman who was also regarding the view.,them,simply,feverish,swim
He * have understood what had been said in English_ though he turned to Mr. Porter and spoke in German.,must,kill,suspiciously,portholes
\"The American plains_ no less than * American mountains_ are wonderful_\" replied Mr. Porter in German.,the,pouring,sulkily,changes
\"And * Americans are a wonderful people_\" said the stranger.,the,support,shrilly,established
\"I can hardly be called a linguist_\" * Mr. Porter.,replied,saved,escaping,insignificant
\"Yes_\" said Mr. Porter_ surprised at the * significant tone of the stranger’s voice.,rather,sew,distinguishable,broken
A policeman who stood a short distance away_ approached in response to an * imperceptible signal from the gentleman and placed himself at Mr. Porter’s side.,almost,color,moreover,selected
Mr. Porter saw that he was probably being placed under arrest_ * concluded it was for political reasons of some sort.,and,passage,wheeled,fiftyfive
Though he believed that any objection on his part would be futile_ he determined to make * attempt to at least obtain information.,an,thin,island,tonight
\"I beg of you * favor of an explanation_\" he said.,the,bodies,caused,gazed
\"It is not desired to detain the * men_\" replied the gentleman with considerable impatience.,young,flame,than,inclined
\"You must come with me at once.\" And he said something in Russian to * officer_ who stepped up and placed a hand on Mr. Porter’s shoulder.,the,inducement,rugs,suns
When Mr. Porter had disappeared with the officer_ and the man who was_ apparently_ the officer’s superior_ the boys * left gazing at each other in consternation.,were,gangplank,slipping,strenuous
The whole affair had occupied so little time * they were dazed_ and could hardly believe that it was reality and not a dream.,that,profound,breakfast,imparted
\"Wouldn’t that jar you_ Sid!\" * Raymond finally.,exclaimed,pointed,excellent,forms
\"I can’t imagine_\" * Sidney.,replied,melted,increasingly,unfortunates
With that idea to encourage them_ the boys hurried * to the hotel and went directly to their room.,back,damp,conversation,opposite
Mr. Porter had selected connecting rooms_ and their * trunk was placed in the room which he had expected to occupy.,one,glistening,surely,alertness
When the boys entered they found a man * uniform directing the removal of the trunk by two porters.,in,longbarreled,pause,case
Meantime the men had carried the trunk out into the *_ and the boys followed in their eagerness to get news of their father.,corridor,polite,steamer,readily
The boys stopped with the sensation of having * a blow_ and returned to their rooms feeling very forlorn.,received,muezzins,use,warmer
There everything looked cheerful * homelike.,and,interesting,from,bloody
The windows were suffused with the soft light of late evening in a high *_ and the prevailing aspect was so peaceful that they were more than ever inclined to think they were dreaming.,latitude,chasing,chose,bather
When they looked about them_ however_ and saw the trunk was gone_ the reality * the situation returned.,of,completely,hearts,proposed
When they had come from the train the traveling-rugs and pillows had been thrown across a couch_ and there they still lay_ not * been noticed by the men who took the trunk.,having,shoes,subside,hes
Mr. Porter’s handbag was gone_ but a small one * Sidney had carried was on the dresser in the boys’ room.,which,laugh,whispered,surely
Accordingly they descended to * office and found the English-speaking clerk.,the,support,has,sharply
\"Do you know the officer who * went out with our trunk?\" asked Sidney.,just,whiskers,if,welltraveled
\"But we are * Germans_\" protested Sidney.,not,favor,placed,pacing
\"That’s just what is the matter_ Ray!\" * Sidney turned to his brother excitedly.,—and,meet,worth,discouraged
\"And * they arrested him!\" exclaimed Sidney.,yet,army,fluid,piece
\"Do you mean they have taken my father for a spy?\" And a vision of Major André of Revolutionary times rose before * horrified boy_ whose face turned pale at the thought.,the,landed,pallor,sweeping
That seemed to be good * and the boys determined to follow it.,advice,related,restlessly,grouse
It was then time for dinner and they * to eat something_ but with poor success.,tried,remembrance,apart,banks
They were so uneasy about their father that they could hardly think of anything else_ and they had not yet begun to consider * they_ themselves_ should do.,what,held,wistful,step
All thought of the Great Fair_ * they had come so far to see_ had entirely left their minds.,which,climbing,despite,—and
Their trouble_ however_ did not prevent * from sleeping well_ and when they went to bed they knew nothing more until long past daylight the next morning.,them,agile,think,knowing
After such a night’s rest things did not appear so bad to the boys as they had seemed the * before_ and they ate a hearty breakfast.,day,unaccustomed,pomegranates,salient
Then they hunted up the English-speaking clerk again_ for they had received no message from * father.,their,greatly,insecure,middle
That person could tell them * and they went out on the street.,nothing,man,paralyzed,nervous
The evening before they had noticed nothing unusual in conditions_ or if there had appeared to be great activity_ they had supposed it was only * ordinary business of the city.,the,realize,promise,pale
With their knowledge that war had been declared_ however_ * boys plainly perceived an air of suppressed excitement everywhere.,the,peaceful,ample,wrong
Automobiles raced through the streets_ and the boys noticed that the cars * carried men in uniform.,always,corridor,him,room
Private automobiles seemed to have strangely disappeared_ and the boys did not * that all such cars had been commandeered by the Government.,know,however,numerous,tremble
There were * of people talking earnestly on the streets_ but not a word that the boys heard could they understand_ and they felt very much out of everything and very forlorn.,groups,swells,ugly,saltsoaked
In their * Southwestern home their ability to speak Spanish besides their native English had been all that they ever needed_ but in Nizhni-Novgorod both English and Spanish seemed to be unknown.,far,apprehension,dismounted,unpleasant
They felt finally that they could no longer endure the suspense of not knowing what was being done_ and determined to return to the hotel and seek their English-speaking * again.,friend,tried,advised,surrounded
\"Has our father sent us any message?\" asked Sidney * they had found the clerk.,when,knew,semitropical,whipping
\"Then * can’t get away at all_\" declared Raymond petulantly.,we,felt,serious,unroll
\"Would it be difficult to cross the mountains?\" * Sidney.,asked,prodigious,tramping,raft
\"But how are we going to get away?\" * Sidney dolefully.,asked,evading,mode,startling
When the matter was finally settled and the boys had decided that they were * the right thing_ they felt easier in their minds and were able to enjoy the strange sights on the boat.,doing,bag,peril,full
Their cabin_ in the bow on the upper deck_ was very comfortable_ and with their soft rugs and pillows * made up an excellent bed_ for on Russian steamboats and trains bedding is not supplied without extra charge_ so most travelers take their own.,they,forth,drifting,success
While the boat was * as a freight carrier there were really a great many passengers_ and all were Russian_ or people under Russian rule.,classed,drew,spell,arm
Many of the latter were decidedly Eastern and * a very Oriental atmosphere to the scene.,gave,found,superficial,fostered
Down on the lower deck_ squatting about on the floor playing various games_ were many brown-clad Tatars_ their brown garb extending even to the heavy brown cloth head-coverings. Less socially inclined were * Kalmucks with shaven heads.,gaunt,amount,indeed,steaks
All showed their Mongolian * by their narrow_ slant eyes.,origin,evading,galloped,evading
Of Mongolian origin also_ but Russian in appearance_ were several Mordvin * going back to their homes in Simbirsk and Samara.,families,desired,make,overwhelming
These people_ as well as nearly all the Russians_ were preparing their afternoon potation of tea_ made from * tea bricks and hot water which they obtained from the waiters.,pressed,pangs,ploughed,mind
The current of the Volga is very slow and even_ the fall * slight_ and as the boat stopped only at large towns_ which on the river are widely separated_ the boys on going to bed slept as soundly as they would have done in their own home.,being,set,away,doggedly
On the right bank * the Volga there are usually bluffs_ sometimes quite high hills_ while much of the country on the left bank is low and flat.,of,cruisers,trembling,inside
The boys spent * greater part of the next day lazily gazing out over the level fields_ or inspecting the villages past which they steamed.,the,awake,fought,bow
On the third day_ August 5_ they reached the large city of Kazan_ where the boat stopped several hours to make a * change of cargo.,considerable,uninteresting,perfectly,burn
The boys * themselves near the gangplank to watch the unloading_ for the city is some five miles from the landing and they thought it too far away to visit.,stationed,small,gaunt,pattern
There was a great deal of animated talking between the * of the boat and the men on the wharf_ and the boys wondered if the Russian roustabouts were always so vivacious.,men,orbs,maintained,huddled
Presently one of the Russian sailors_ whom they had not * noticed_ addressed them in excellent English.,especially,others,hunt,gradually
At that moment the officer in charge of the unloading called out sharply and the sailor * along with his load.,hurried,bleakness,for,hung
After * boat had left the wharf at Kazan_ the boys took every opportunity to speak to the sailor_ it was so pleasant to be able to talk English with some one.,the,ran,worth,comfort
They * information about the country through which they were passing_ and about the strange people on the boat.,asked,loading,struggling,sensations
The topic that would have * them most was the war_ but the sailor could tell them very little about that.,interested,bullet,spell,music
The man_ though a Russian_ had served on English ships_ and had been * many English and American ports_ in that way learning to speak English well.,in,vaguely,swell,vacation
In the course of the voyage to Astrakhan the boys picked up many Russian words * phrases and soon began to feel that they were prepared to travel anywhere in the empire.,and,sink,vision,from
On August 8 the boat tied up to the wharf * Astrakhan_ where the English-speaking sailor gathered the news and imparted to the boys the information that President Wilson had issued a proclamation of neutrality.,at,frequent,mother,wandering
The boys soon began to notice that the people * the boat appeared greatly interested in them_ though at first they had attracted little attention.,on,reared,says,stationed
After passing out on to the Caspian not only the captain but other officers of the * talked with them through their friend the sailor_ for it happened that none of the officers spoke English_ as would not have been the case on a boat in the regular passenger service.,boat,preparation,glacier,mastication
They told the circumstances of their trip very frankly to the captain_ who assured them * they need not be alarmed about their father_ for he would certainly be released_ though he might be held some days.,that,visit,setting,urged
All Russian officials_ the captain said_ * be extremely busy in the mobilization of the army_ but he was sure that Mr. Porter would not only eventually be released_ but would probably be helped back to America.,would,rose,merely,inconvenience
Such a message had * received at Astrakhan.,been,swifter,salty,progress
Sidney asked why Americans should be treated with greater consideration than the citizens of other countries_ and was told that it was because the United States was the only great nation that had remained neutral_ and would probably continue to be * throughout the war.,neutral,unimportant,cheese,support
The boys became quite excited at that *_ and imagined that their father might even then be at liberty.,information,recalled,impetus,trust
Sidney declared that when they arrived at Petrovsk he would try * reach his father with a telegram_ and if he succeeded they would return to Nizhni-Novgorod.,to,ceiling,fact,perform
The captain dashed their hopes_ however_ by telling them that all telegraph lines had been monopolized by the Government_ and that it would be impossible to send a private message * any sort.,of,carrying,dirt,swirling
He advised the boys to continue as they had planned_ * that they would probably reach home before their father.,saying,revive,pierce,ships
He said_ moreover_ that he could * of great help to them at Petrovsk.,be,imbibed,soaked,broader
When they arrived at that port_ where the boys were to leave the boat_ the captain went with them to the chief of *_ taking the sailor along to assist in the conversation.,police,telling,replied,seasoning
The captain assured him that he had seen the order sent to Astrakhan_ and he was certain the Petrovsk official * rue the day that he went contrary to the spirit of those instructions.,would,credit,shelter,however
The boys * expected to proceed from Petrovsk by rail to Vladikavkaz_ and then by wagon along the Georgia military road through the Dariel Pass to Tiflis.,had,scenes,first,shiver
They had been * there was a daily automobile stage through the pass_ but feared that if they indulged in such luxury_ they would not have money enough to reach home_ so decided to choose the very much slower_ but also very much cheaper_ mode of travel.,told,soap,throughout,has
When * captain learned_ however_ that mobilization of the army was being pushed so vigorously that the Dariel Pass would be filled constantly with moving troops_ he feared that it would not be safe for the boys to attempt that route_ and advised them to give it up.,the,lying,able,pet
He said they would be almost certain to encounter acts * aggression by the soldiers_ no matter how well disposed the officers might be.,of,place,anyway,yielding
The chief informed them there was another * way of crossing the mountains by trails that led almost directly south from Petrovsk.,possible,irregular,superior,walking
But the mountains through which those trails passed were extremely rugged and difficult_ and the people who * them were very rough and sometimes even fierce.,inhabited,camp,secondclass,couples
That it would be_ in short_ a dangerous road_ and he doubted if young boys who were strange to the country could * a passage.,accomplish,lonely,unconscious,awkward
When those drawbacks were explained to the boys_ however_ they declared that they were too familiar with mountains to be scared by anything * the sort.,of,sandy,advantage,strifebroken
Indeed_ the mountain route looked very attractive * them_ and they immediately chose it.,to,hotel,removal,eat
The captain thought if the boys were to pass through so wild a country that they should have something in the nature of a passport which they could show_ * suggested that the chief of police should give them one.,and,meaning,simple,filled
The sailor read this paper to the boys so they would know exactly * they were offering as a passport.,what,examine,preparations,release
The man could not inform him_ for he had * heard of the place either; but when he asked the captain_ it was explained that the Czar had just changed the name of St. Petersburg to Petrograd_ on account of the German origin of the former name.,never,trail,attempting,couple
When that matter was arranged_ the captain said that he must * to the boat.,return,loaf,stared,dove
But he left the sailor with them until * should have purchased horses and whatever of an outfit they needed for their mountain journey.,they,cup,separating,fury
The boys learned from the * that the captain remained in port several hours longer than he would otherwise have done_ solely to help them get started on their way.,sailor,ago,waded,nick
With the assistance of their friend the boys purchased two *_ spirited horses and high Tatar saddles.,young,wander,stopped,wagon
They also * heavy boots_ horsehair cloaks_ and saddlebags. Then they bade good-bye to the sailor with hearty thanks for his aid_ and went to the inn to get a good rest in preparation for hard work the next day.,bought,custom,selected,swim
There was a very passable wagon road as far as the provincial capital_ Timour Khan Shoura_ and by getting an early start from Petrovsk the boys hoped to cover that * stage of their journey in one day.,first,wheeled,observed,snipe
Accordingly_ they made all final arrangements the night before so there * be no delay in the morning.,might,sorts,safe,little
Their traveling-rugs and * new horsehair cloaks they would tie behind the saddles_ but the pillows which they had brought with them down the Volga they could not carry any farther.,the,past,enter,planks
Those desirable accessories to a comfortable journey they accordingly presented to the chief of police_ who had taken * active an interest in their welfare.,so,fed,fiftyfive,east
The contents of their handbag they transferred to the saddle-pockets_ and the bag itself they gave to the landlord of the inn_ who also had been very * to their needs and comfort_ as far as his limited resources would allow.,attentive,person,expanse,braced
The saddlebags were destined * hold also a limited supply of food_ consisting mainly of cheese and the hard bread of the country.,to,ploughing,skeletons,fruit
The boys were on * road in the morning quite as early as they had desired_ and the new horses proved admirable under the saddle_ though almost too ambitious_ requiring constant watchfulness.,the,wheeled,sash,threw
The immediately surrounding country was barren and uninteresting_ but in front the * rose gradually until_ in the dim distance_ it culminated in the colossal wall of the Caucasus Range_ which they must cross.,ground,removal,forehead,setting
The principal objects * interest were the people_ chiefly Tatars_ whom they met_ or who passed them_ dashing furiously ahead on their wiry horses of the Steppes.,of,lowered,selections,ragged
The day wore on to late afternoon and the boys judged they were approaching Timour Khan Shoura_ when there appeared a * cavalcade approaching them.,considerable,repulsive—but,attracted,width
There were * number of loose horses being driven by half a dozen soldiers under an officer_ who gave a command on reaching the boys_ and the soldiers drew up across the road_ blocking the way.,a,deliberate,gust,hoof
The officer_ who_ the boys thought_ must be a lieutenant_ said something to them in Russian which * course they did not understand.,of,carry,glow,officials
Then he made a motion which seemed to * that he wanted them to dismount.,indicate,vessel,picking,discover
\"He is telling us to * off_\" said Sidney.,get,clerk,working,inclined
\"I’m not going to * off_\" declared Raymond.,get,reappearing,trying,best
Sidney took out the passport and presented it to the officer_ * received and read it.,who,surrounded,cases,lonely
He then returned it with a * bow and with a statement of which the boys understood only the words meaning \"government\" and \"army.\" Still he motioned for the boys to get off their horses.,polite,blank,straining,spirited
When the officer saw that the boys did not obey his request he * an order to his own men_ and one of the soldiers dismounted and took Sidney’s horse by the bit_ motioning to the boy to get off.,gave,heels,sweeping,slant
\"He’s not going to have my horse.\" And Raymond dug his heels * the horse and struck him with the end of the reins.,into,nearest,luxuriant,afterward
The spirited animal leaped forward and dashed * one side of the road to pass the little group of mounted men and their herd of horses.,to,greatly,weary,they
The officer gave a sharp order * the men whipped out their pistols.,and,ideal,tapped,countries
Raymond either did not hear or did not care_ for he struck * horse another blow and dashed past the obstructing group.,his,considerable,purse,heap
Just as he reached * clear road beyond_ the officer gave another sharp order and the soldiers fired a volley_ all together.,the,anywhere,excellent,couples
Sidney turned sick and faint_ expecting to see his brother fall from his horse pierced by half a * bullets.,dozen,proposed,heaped,comb
Instead_ the boy pulled * horse up with a jerk and took off his hat_ which he examined ruefully.,his,northern,crack,sullenly
Raymond jumped off his horse_ and going up to one * the soldiers took hold of the pistol which the man was still holding in his hand_ at the same time asking him_ of course in English_ for the loan of it a few minutes.,of,overwhelming,circulation,attention
The soldier looked inquiringly at his officer_ who made * comment_ and the man yielded the gun.,no,sleeping,covered,distressingly
\"Gee! * it isn’t a Colt .38.\" And the boy gazed longingly on the revolver.,if,bulk,settled,closest
He held back the hammer and ran the cylinder around two or three times in wistful admiration_ then he picked up two small rocks and throwing them into the air he fired twice in * succession_ shattering both rocks while they were still high in air.,quick,groping,pleased,stiff
There were exclamations of wonder from the soldiers_ and the officer said something which was * very complimentary.,apparently,huge,present,better
He took twenty rubles from his purse and * the gold out to the soldier_ pointed to the revolver.,holding,all,creating,established
The soldier looked covetously at the money_ but the officer shook his head_ * taking the revolver from Raymond he showed some letters cut in the barrel_ which evidently marked it as belonging to the Government.,and,safeguard,plunge,sufficiency
Raymond turned around to his horse_ which he had left * when he dismounted to give his exhibition of shooting_ and was surprised to find that one of the soldiers had the animal in charge and had led him over to the bunch.,standing,pitch,gathering,meeting
Sidney dismounted and left his horse * the soldier_ who still retained hold of the bridle.,with,plunged,possibly,obstinately
The officer gave an order and two of the men untied the rolls of blankets and cloaks * back of the saddles and laid them on the ground.,from,bandage,ultimate,gray
They then emptied the saddlebags and * the contents with the blankets_ but did not remove the bags themselves.,placed,warm,combat,weve
The officer then made out and signed a paper * he gave to Sidney_ and which the boys assumed was a receipt for the horses.,which,opposite,replenish,laying
When that was done the soldiers sprang into their saddles_ rounded up all of the loose horses_ including the two which had so recently belonged to the boys_ and galloped off_ the officer giving a courteous salutation to the boys as * departed.,they,near,hesitated,orbs
Sidney and Raymond stood in the road and looked after their vanishing steeds_ then at the * of blankets which lay on the ground near them.,rolls,straightened,traversing,car
\"It certainly does_ and look at that range we’ve got to cross.\" And Sidney * doubtfully at the far Caucasus_ whose northern heights were white even at that distance.,gazed,twenty,coats,belt
\"I don’t believe it would be * to try that_\" replied Sidney.,wise,moistened,barking,paper
\"It’s * fierce that we’ve got to tote these things.\" And Raymond kicked the blankets vindictively.,simply,gold,frequency,bewildering
The saddlebags had not contained very much_—only the few things that Sidney had carried in his handbag when * arrived at Nizhni-Novgorod: a suit of pajamas for each of them_ socks_ handkerchiefs_ brush and comb_ and their toothbrushes.,they,morsels,passengers,ports
Those few things_ however_ added to their blankets and cloaks_ seemed to Raymond to be * culminating straw.,the,hospitality,entrance,tie
The small articles the boys crowded * their pockets_ and each made a long roll of his blankets and cloak_ and carried it over one shoulder_ tying the ends together under the opposite arm.,into,immediately,objects,others
In that way the bundle rode *_ with very little inconvenience to the traveler.,well,cleaned,might,series
When their packs were arranged the boys started out_ and passing through a small ravine_ on emerging * a broader valley_ they were cheered to observe the town which was the goal of their day’s journey.,into,clubbing,certainty,community
For the capital of a large province like Daghestan_ Timour Khan Shoura appeared very insignificant_ and when they * the inn_ they found it to be primitive in the extreme.,reached,says,glistened,dwellers
Sidney presented their passport to the landlord_ who * properly impressed_ though it was plain that he could not read it.,seemed,formed,unequal,few
The news of their arrival must have been spread very *_ for immediately there appeared men of all sorts and conditions_ who apparently came solely to view the travelers.,promptly,overhanging,remove,appear
In this crowd was the chief of police_ to whom the passport was turned over_ * who seemed to consider it satisfactory.,and,determination,island,inform
He read the paper aloud_ and its effect * the assemblage was great.,on,culminated,rumors,waters
There was * a Babel of talk_ and the boys were familiar enough with the sound of Russian to know that a large part of the conversation was in some other language.,instantly,furiously,helpless,know
The chief * police asked them a long string of questions of which they understood only an occasional word.,of,oak,feet—more,de
Sidney assumed_ however_ that the official * asking who they were_ where they came from_ and where they were going_ so he politely imparted that information_ to Raymond’s great amusement.,was,process,swell,small
\"He’s asking if we have no horses_\" said Sidney_ and he related how their horses had been taken_ giving it all in English except the words \"government_\" \"army_\" and \"horses_\" * which he knew the Russian equivalents.,of,doubted,sounds,realized
The chief appeared to grasp his meaning without any difficulty_ and to be rather * by it_ for he made a remark to the surrounding men_ who all laughed_ and the talking began afresh.,amused,swallow,drag,inexorable
Sidney took some gold out of his pocket and showed it to the *_ using the Russian word for \"horses\" and holding up two fingers.,chief,hills,investigate,probability
\"There are certainly * villainous faces in the crowd_\" said Raymond.,some,hour,smile,straight
The streets of Timour Khan Shoura were so narrow and dark that the boys * they had waited too long as it was.,feared,form,calmly,talked
They found_ however_ * their great surprise_ that the bazaars of the town were well stocked with excellent guns_ though their pattern was somewhat Oriental.,to,minute,lashed,subside
They did not know until afterward that many of the weapons * manufactured there.,were,evenly,rising,enable
After a short search * purchased a five-shot_ .,they,adventure,turbulent,wander
The decorative part of the gun they would * been willing to omit in order to save expense_ but they could find none simpler that satisfied Raymond.,have,road,unresisting,inefficient
With the purchase of a box of cartridges_ five of * went immediately into the cylinder of the new gun_ Raymond said he felt more like himself.,which,past,conversation,selections
When they returned to the inn the landlord indicated that supper was prepared_ and after they had partaken of that they * to their room_ which was on the second floor.,went,native,series,sureness
Sidney had been made rather nervous when he thought * his mistake in showing money to the crowd of strangers_ and his first care was to assure himself that the room was secure.,about,prison,this,colder
He found to his relief that the window overlooked a clear space with no other * near.,building,automobile,though,decided
The door was very solid_ but * lock appeared to be more ornamental than effective.,the,increase,addressed,throwing
\"We can soon fix that.\" And Raymond dragged up the only chair_ a * heavy oak one_ and braced it under the door handle in such a way that the door could not be opened from without.,very,too,travelingrugs,unpalatable
They then swung the window back * air_ as there seemed to be no possibility of danger from that quarter.,for,brilliantly,temperature,fill
\"I’m going to divide my money_\" said Sidney_ \"and you had better do the same. We can’t tell what may happen on the road.\" He knotted the greater * of the gold which he carried in a handkerchief and suspended it from his neck underneath all of his clothes.,part,jar,sick,courage
As he lay in an apprehensive half-slumber he dreamed that * captain of the river boat had come to call on them and was trying to open the door.,the,growing,task,slowly
But * some reason_ which Sidney could not fathom_ he could neither admit the caller nor call out to him to come in.,for,whoever,fragments,about
Suddenly he wakened fully_ and realized that there was some * really at the door.,one,brief,colony,child
He listened intently and could hear a movement outside_ as though a person were cautiously * the door handle.,manipulating,surge,conscious,desert
He took hold of his brother’s arm and * him gently.,shook,rude,moved,cloth
The boys held their * and listened.,breath,weird,stones,closed
After a few moments there * a slight grating sound and the fumbling ceased.,was,consumption,requiring,quilt
Then the door strained against the chair_ *_ however_ held without sliding on the floor.,which,consciousness,strike,higher
Whoever was attempting an entrance had_ without *_ succeeded in shooting back the bolt of the lock_ and had then tried to push the door open_ but had been balked by the chair.,doubt,air,dipped,wellrenovated
After it was discovered that * door was blocked on the inside_ no further noise was audible.,the,incredible,slower,flashed
